Video,Quality,Video Bytes Downloaded,Loaded Percentage,Longitude,Latitude,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid_num
KGerjHMa90s,hd1080,0.01712255475,1.7,-90.120274,29.934127,-111.0,-13.0,35.0,5.0,5.0,D,PERIODIC,-108.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.02285995739,2.3,-90.120274,29.934127,-111.0,-13.0,35.0,3.0,3.0,D,PERIODIC,-108.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.0311074715,3.1,-90.120334,29.933966,-111.0,-12.0,40.0,22173.0,7193.0,D,PERIODIC,-107.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.0311074715,3.1,-90.120334,29.933966,-111.0,-12.0,40.0,1.0,1.0,D,PERIODIC,-107.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.04051842956,4.1,-90.120334,29.933966,-112.0,-13.0,35.0,0.0,0.0,D,PERIODIC,-107.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.05540178291,5.5,-90.120334,29.933966,-112.0,-13.0,35.0,2.0,2.0,D,PERIODIC,-107.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.05540178291,5.5,-90.120334,29.933966,-112.0,-13.0,35.0,0.0,0.0,D,PERIODIC,-107.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.07530339521,7.5,-90.120334,29.933966,-112.0,-13.0,35.0,27116.0,3611.0,D,PERIODIC,-107.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.07790315448,7.8,-90.120334,29.933966,-112.0,-13.0,35.0,0.0,0.0,D,PERIODIC,-108.0,-13.0,10.0,8
KGerjHMa90s,hd1080,0.08060429714,8.1,-90.120334,29.933966,-112.0,-13.0,35.0,0.0,1.0,D,PERIODIC,-108.0,-13.0,10.0,8
